date,price,Fear&Greed
2019-12-29,7397.535,37
2019-12-30,7234.615,40
2019-12-31,7182.4017,38
2020-01-01,7188.4633,37
2020-01-02,6961.5683,39
2020-01-03,7346.58,38
2020-01-04,7355.855,38
2020-01-05,7356.3117,39
2020-01-06,7761.825,41
2020-01-07,8157.7617,40
2020-01-08,8042.8733,51
2020-01-09,7816.9233,44
2020-01-10,8189.265,41
2020-01-11,8016.4267,50
2020-01-12,8178.8833,45
2020-01-13,8105.4783,49
2020-01-14,8807.4267,56
2020-01-15,8808.4867,54
2020-01-16,8716.9133,55
2020-01-17,8890.25,54
2020-01-18,8901.17,51
2020-01-19,8698.5717,53
2020-01-20,8631.2883,48
2020-01-21,8727.6033,49
2020-01-22,8661.01,52
2020-01-23,8392.145,49
2020-01-24,8436.49,40
2020-01-25,8337.1017,41
2020-01-26,8602.7417,42
2020-01-27,8901.5067,50
2020-01-28,9393.2733,54
2020-01-29,9290.46,57
2020-01-30,9508.725,57
2020-01-31,9346.1333,55
2020-02-01,9388.6617,57
2020-02-02,9333.08,57
2020-02-03,9291.6433,59
2020-02-04,9175.3367,56
2020-02-05,9613.4033,53
2020-02-06,9750.5467,61
2020-02-07,9808.5967,56
2020-02-08,9897.6583,56
2020-02-09,10161.2833,56
2020-02-10,9852.7183,57
2020-02-11,10266.1,52
2020-02-12,10347.9517,61
2020-02-13,10230.0783,65
2020-02-14,10356.7567,63
2020-02-15,9903.0217,64
2020-02-16,9926.2,59
2020-02-17,9706.08,49
2020-02-18,10185.8767,53
2020-02-19,9593.48,50
2020-02-20,9607.31,44
2020-02-21,9695.5583,44
2020-02-22,9667.8433,43
2020-02-23,9973.2733,46
2020-02-24,9664.6333,46
2020-02-25,9313.92,44
2020-02-26,8790.12,41
2020-02-27,8816.585,39
2020-02-28,8715.6617,40
2020-02-29,8538.3983,38
2020-03-01,8540.2567,39
2020-03-02,8926.2517,38
2020-03-03,8768.18,38
2020-03-04,8767.8867,40
2020-03-05,9073.275,41
2020-03-06,9165.1517,39
2020-03-07,8905.9517,38
2020-03-08,8050.1883,33
2020-03-09,7944.45,17
2020-03-10,7899.2267,16
2020-03-11,7951.17,17
2020-03-12,4914.085,14
2020-03-13,5629.5767,10
2020-03-14,5182.3217,8
2020-03-15,5360.06,12
2020-03-16,5043.6783,9
2020-03-17,5337.0933,8
2020-03-18,5411.6217,11
2020-03-19,6180.27,12
2020-03-20,6206.6117,9
2020-03-21,6197.6183,9
2020-03-22,5803.67,11
2020-03-23,6492.94,10
2020-03-24,6766.7817,12
2020-03-25,6687.705,13
2020-03-26,6709.95,14
2020-03-27,6698.73,12
2020-03-28,6226.545,8
2020-03-29,5882.0067,12
2020-03-30,6568.805,10
2020-03-31,6449.95,12
2020-04-01,6671.95,12
2020-04-02,6833.05,14
2020-04-03,6740.075,14
2020-04-04,6872.915,12
2020-04-05,6778.61,12
2020-04-06,7297.75,12
2020-04-07,7360.37,20
2020-04-08,7341.15,21
2020-04-09,7314.95,22
2020-04-10,6909.95,15
